[dotenv@17.2.3] injecting env (7) from .env.local -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
Loading FBS + FCS allow-list from CFBD…
(node:19948) Warning: Setting the NODE_TLS_REJECT_UNAUTHORIZED environment variable to '0' makes TLS connections and HTTPS requests insecure by disabling certificate verification.
(Use `node --trace-warnings ...` to show where the warning was created)
D1 allow-list: 265 programs (138 FBS + 127 FCS)
Loading cfb_teams from Supabase…
Teams to process: 262 (skipped 489 non-D1)
Seasons: 2010..2025 (16 per team)
Resume mode: skipping 7 teams synced in last 24h. Remaining: 255

[218/255] UAB                            | players:  765 | total: 112143 | calls: 3488 | ETA: ~6m   
[219/255] UAlbany                        | players:  297 | total: 112440 | calls: 3504 | ETA: ~6m   
[220/255] UC Davis                       | players:  342 | total: 112782 | calls: 3520 | ETA: ~6m   
[221/255] UCF                            | players:  766 | total: 113548 | calls: 3536 | ETA: ~6m   
[222/255] UCLA                           | players:  744 | total: 114292 | calls: 3552 | ETA: ~5m   
[223/255] UConn                          | players:  670 | total: 114962 | calls: 3568 | ETA: ~5m   
[224/255] UL Monroe                      | players:  748 | total: 115710 | calls: 3584 | ETA: ~5m   
[225/255] UNLV                           | players:  751 | total: 116461 | calls: 3600 | ETA: ~5m   
[226/255] USC                            | players:  726 | total: 117187 | calls: 3616 | ETA: ~5m   
[227/255] UT Martin                      | players:  410 | total: 117597 | calls: 3632 | ETA: ~5m   
[228/255] Utah State                     | players:  823 | total: 118420 | calls: 3648 | ETA: ~4m   
[229/255] Utah Tech                      | players:  236 | total: 118656 | calls: 3664 | ETA: ~4m   
[230/255] Utah                           | players:  886 | total: 119542 | calls: 3680 | ETA: ~4m   
[231/255] UTEP                           | players:  804 | total: 120346 | calls: 3696 | ETA: ~4m   
[232/255] UTSA                           | players:  665 | total: 121011 | calls: 3712 | ETA: ~4m   
[233/255] Valparaiso                     | players:  236 | total: 121247 | calls: 3728 | ETA: ~4m   
[234/255] Vanderbilt                     | players:  661 | total: 121908 | calls: 3744 | ETA: ~3m   
[235/255] Villanova                      | players:  261 | total: 122169 | calls: 3760 | ETA: ~3m   
[236/255] Virginia                       | players:  709 | total: 122878 | calls: 3776 | ETA: ~3m   
[237/255] Virginia Tech                  | players:  769 | total: 123647 | calls: 3792 | ETA: ~3m   
[238/255] VMI                            | players:  361 | total: 124008 | calls: 3808 | ETA: ~3m   
[239/255] Wagner                         | players:  400 | total: 124408 | calls: 3824 | ETA: ~3m   
[240/255] Wake Forest                    | players:  662 | total: 125070 | calls: 3840 | ETA: ~2m   
[241/255] Washington                     | players:  652 | total: 125722 | calls: 3856 | ETA: ~2m   
[242/255] Washington State               | players:  868 | total: 126590 | calls: 3872 | ETA: ~2m   
[243/255] Weber State                    | players:  327 | total: 126917 | calls: 3888 | ETA: ~2m   
[244/255] West Georgia                   | players:  153 | total: 127070 | calls: 3904 | ETA: ~2m   
[245/255] West Virginia                  | players:  873 | total: 127943 | calls: 3920 | ETA: ~2m   
[246/255] Western Carolina               | players:  402 | total: 128345 | calls: 3936 | ETA: ~1m   
[247/255] Western Illinois               | players:  390 | total: 128735 | calls: 3952 | ETA: ~1m   
[248/255] Western Kentucky               | players:  752 | total: 129487 | calls: 3968 | ETA: ~1m   
[249/255] Western Michigan               | players:  714 | total: 130201 | calls: 3984 | ETA: ~1m   
[250/255] William & Mary                 | players:  293 | total: 130494 | calls: 4000 | ETA: ~1m   
[251/255] Wisconsin                      | players:  651 | total: 131145 | calls: 4016 | ETA: ~1m   
[252/255] Wofford                        | players:  346 | total: 131491 | calls: 4032 | ETA: ~0m   
[253/255] Wyoming                        | players:  731 | total: 132222 | calls: 4048 | ETA: ~0m   
[254/255] Yale                           | players:  223 | total: 132445 | calls: 4064 | ETA: ~0m   
[255/255] Youngstown State               | players:  323 | total: 132768 | calls: 4080 | ETA: ~0m   
DONE. 132768 player upserts across 255 teams (4080 API calls) in 41.7m.
